product_id,product_name,category,sub_category,brand,price,rating,stock_quantity
9d7f4ae8-9d37-40a7-83f1-d4d43c0fa5e1,EvoDerm Night Mask,Beauty,Skincare,LuxeGlow,2101.5,4.1,60
84204cfb-0150-48d0-b242-81c7fe4a6514,AeroLink Ultra,Electronics,Laptops,NovaSound,739.06,4.7,505
95ba199d-25d9-4758-ab92-8279a2922f49,PulseTab Studio,Electronics,Tablets,OrbitOne,896.48,3.6,284
29144108-f016-476f-bcb9-b0b392495dc4,UrbanNest Purifier,Home,Cleaning,UrbanNest,2171.45,4.0,565
4f68564c-9807-4264-8b96-9940b6cb73e1,UrbanNest Planter Set,Home,Decor,UrbanNest,932.22,4.3,555
0ed42b97-708a-4e9d-9e9f-3b240f4d7141,CasaPure Modular Sofa,Home,Furniture,UrbanNest,887.53,4.0,569
ec5acaab-3445-4eba-865e-8b247d274eee,HelioCraft Solar Watch,Accessories,Watches,Voyageur,422.51,4.4,482
50125164-4655-454b-8961-3fdaa3c4152a,CasaPure Steam Mop,Home,Cleaning,CasaPure,413.97,3.5,578
673ab0f6-8d68-4c50-bdd4-e777fc1337b1,Orbit Edge Pro,Electronics,Smartphones,NovaSound,117.11,4.8,332
88add444-6943-42bd-b1ad-df9231d2aa8d,Voyageur North Star Pendant,Accessories,Jewelry,HelioCraft,745.71,4.6,312
27288ebe-a4fa-4764-bcff-20c6c1b4e579,PeakForm Hybrid Hoodie,Fitness,Athleisure,CoreFlex,1241.34,4.0,371
32d10e80-4cc3-4821-a169-40de49089b3e,ZenMotion Sculpt Legging,Fitness,Athleisure,ZenMotion,408.65,3.9,528
3d9f7863-ef4b-4644-a5e7-50c73e97cf53,HelioCraft Modular Pack,Accessories,Travel,Voyageur,180.75,3.9,506
1172914a-fd97-4fec-8729-044a3bcc7331,LuxeGlow Hydrating Serum,Beauty,Skincare,PureBloom,1676.07,4.8,255
f80766f9-da2d-4a07-ab44-82d53610a4c2,PulseTech Secure Cam,Accessories,Smart Home,ChronosCo,1240.22,3.5,165
761a057e-264a-4c1b-b399-0ea1a85811e6,CoreFlex Adjustable Kettlebell,Fitness,Equipment,CoreFlex,1319.17,3.4,23
91040c4c-ff68-4da6-8b23-e84501185895,CoreFlex Adjustable Kettlebell,Fitness,Equipment,PeakForm,474.72,4.8,206
5bb65c5b-8dd6-4b85-afeb-308c85338301,MetroThread Tech Jacket,Fashion,Apparel,AtlasWear,548.81,4.1,378
a1004e61-f401-428e-a431-0d83dbd29708,LuxeGlow Hydrating Serum,Beauty,Skincare,LuxeGlow,966.57,3.6,365
